Categoria,Instância,Região,SO,Tenancy,vCPU,RAM_GiB,GPU,Preço_USD,Indice_custo_beneficio,Cluster,PCA1,PCA2
Uso Geral,m5.xlarge,Asia Pacific (Tokyo),Windows,Dedicated,4,16.0,0,0.448,44.64285714285714,2,-0.5510965972954612,-0.10373101423338388
Uso Geral,m5.xlarge,Asia Pacific (Tokyo),RHEL,Shared,4,16.0,0,0.306,65.359477124183,2,-0.5354532626438997,-0.02287915952560562
Uso Geral,m5.xlarge,Asia Pacific (Tokyo),RHEL,Dedicated,4,16.0,0,0.33,60.6060606060606,2,-0.5306975657167308,-0.0781915953957587
Uso Geral,m5.xlarge,Asia Pacific (Tokyo),SUSE,Shared,4,16.0,0,0.304,65.78947368421053,2,-0.5362059297731534,0.03249706839728239
Uso Geral,m5.xlarge,Asia Pacific (Tokyo),SUSE,Dedicated,4,16.0,0,0.319,62.69592476489028,2,-0.5317979620038592,-0.018768410013848984
Uso Geral,m6g.medium,US East (N. Virginia),Linux,Shared,1,4.0,0,0.0385,129.87012987012986,2,-0.6586232035069132,0.20106026256337942
Uso Geral,m6g.medium,US East (N. Virginia),Linux,Dedicated,1,4.0,0,0.0408,122.54901960784314,2,-0.6562069621078818,0.1409680355870639
Uso Geral,m6g.medium,US East (N. Virginia),RHEL,Shared,1,4.0,0,0.0529,94.5179584120983,2,-0.6584567425621853,0.1002256292022071
Uso Geral,m6g.medium,US East (N. Virginia),RHEL,Dedicated,1,4.0,0,0.0552,90.57971014492753,2,-0.6552676004783156,0.04761887557723532
Uso Geral,m6g.medium,US East (N. Virginia),SUSE,Shared,1,4.0,0,0.0695,71.94244604316546,2,-0.6629632015027005,0.10392304423014803
Uso Geral,m6g.medium,US East (N. Virginia),SUSE,Dedicated,1,4.0,0,0.0718,69.63788300835654,2,-0.6594008025621438,0.05493124956270509
Uso Geral,m6g.medium,US West (Oregon),Linux,Shared,1,4.0,0,0.0385,129.87012987012986,2,-0.6588923295385564,0.14473946208281363
Uso Geral,m6g.medium,US West (Oregon),Linux,Dedicated,1,4.0,0,0.0408,122.54901960784314,2,-0.656476088139525,0.08464723510649813
Uso Geral,m6g.medium,US West (Oregon),RHEL,Shared,1,4.0,0,0.0529,94.5179584120983,2,-0.6587258685938285,0.04390482872164134
Uso Geral,m6g.medium,US West (Oregon),RHEL,Dedicated,1,4.0,0,0.0552,90.57971014492753,2,-0.6555367265099588,-0.008701924903330459
Uso Geral,m6g.medium,US West (Oregon),SUSE,Shared,1,4.0,0,0.0695,71.94244604316546,2,-0.6632323275343437,0.047602243749582246
Uso Geral,m6g.medium,US West (Oregon),SUSE,Dedicated,1,4.0,0,0.0718,69.63788300835654,2,-0.659669928593787,-0.0013895509178606658
Uso Geral,m6g.medium,South America (Sao Paulo),Linux,Shared,1,4.0,0,0.0612,81.69934640522877,2,-0.6525704101669836,0.01585975813095205
Uso Geral,m6g.medium,South America (Sao Paulo),Linux,Dedicated,1,4.0,0,0.0649,77.04160246533128,2,-0.6494325712139697,-0.03839725681130746
Uso Geral,m6g.medium,South America (Sao Paulo),RHEL,Shared,1,4.0,0,0.0756,66.13756613756614,2,-0.647882332045339,-0.04118342110585647
